Ambient Temp.,TMP116,Frequency,Actual dfreq (ppb)
76.63,10906,9999999.033,-0.88090003
75.56,10904,9999999.033,-0.85799992
74.44,10902,9999999.033,-0.83900001
73.5,10900,9999999.033,-0.80260001
72.38,10897,9999999.033,-0.7886
71.19,10894,9999999.034,-0.75809993
70.06,10891,9999999.034,-0.73310006
68.94,10888,9999999.034,-0.71179997
67.69,10886,9999999.034,-0.68730004
66.69,10883,9999999.035,-0.667
65.5,10881,9999999.035,-0.64080004
64.25,10878,9999999.035,-0.62099993
63.13,10875,9999999.035,-0.6200999
61.88,10872,9999999.036,-0.56570005
60.88,10869,9999999.036,-0.56839995
59.88,10867,9999999.036,-0.54919999
58.63,10865,9999999.036,-0.52990001
57.38,10862,9999999.036,-0.49339999
56.19,10859,9999999.037,-0.46420004
55.13,10857,9999999.037,-0.47190003
53.94,10853,9999999.037,-0.43160003
52.81,10851,9999999.037,-0.42519998
51.63,10849,9999999.037,-0.40739998
50.44,10846,9999999.038,-0.37719999
49.5,10844,9999999.038,-0.36650002
48.19,10840,9999999.038,-0.35030004
47.06,10837,9999999.038,-0.31390004
45.81,10834,9999999.038,-0.32039993
44.69,10832,9999999.038,-0.2954999
43.44,10829,9999999.039,-0.26900005
42.5,10827,9999999.039,-0.25369991
41.38,10824,9999999.039,-0.23599993
40.25,10821,9999999.039,-0.2146
39.06,10819,9999999.039,-0.21250006
37.81,10816,9999999.04,-0.18169992
36.63,10813,9999999.04,-0.17750002
35.56,10811,9999999.04,-0.13519991
34.44,10808,9999999.04,-0.12650006
33.19,10805,9999999.04,-0.12209993
32,10803,9999999.04,-0.09579994
30.69,10799,9999999.041,-0.08530002
29.75,10797,9999999.041,-0.06360002
28.75,10795,9999999.041,-0.06799996
27.44,10792,9999999.041,-0.03789999
26.25,10788,9999999.041,-0.01650006
25.31,10786,9999999.041,-0.00650007
24.19,10784,9999999.041,0
22.88,10782,9999999.042,0.01430009
21.88,10779,9999999.041,0.01389999
20.88,10776,9999999.042,0.02250001
19.56,10773,9999999.042,0.05520005
18.38,10771,9999999.042,0.07649995
17.25,10768,9999999.042,0.07409994
16.38,10766,9999999.042,0.08710008
15.13,10763,9999999.042,0.08060001
13.94,10761,9999999.043,0.11790004
12.88,10758,9999999.043,0.12350008
11.94,10756,9999999.043,0.13319999
10.88,10752,9999999.043,0.14549997
9.75,10751,9999999.043,0.1619
8.5,10747,9999999.043,0.15980005
7.38,10745,9999999.043,0.17820001
6.31,10743,9999999.043,0.17399993
5.06,10740,9999999.043,0.19710008
3.81,10737,9999999.043,0.20029992
2.69,10735,9999999.043,0.20240005
1.25,10732,9999999.044,0.2293
0.19,10729,9999999.044,0.21749996
-0.69,10726,9999999.044,0.23890007
-1.94,10724,9999999.044,0.25050007
-3.38,10721,9999999.044,0.26019998
-4.44,10718,9999999.044,0.2545001
-5.38,10716,9999999.044,0.27019996
-5.94,10713,9999999.044,0.26709996
-5.63,10713,9999999.044,0.26399996
-4.88,10714,9999999.044,0.306
-4,10716,9999999.044,0.30140001
-2.94,10718,9999999.044,0.29530004
-1.81,10720,9999999.044,0.2781
-0.69,10723,9999999.044,0.26770011
0.44,10726,9999999.043,0.25390014
1.63,10728,9999999.044,0.26179999
2.94,10731,9999999.043,0.24380013
4.19,10734,9999999.043,0.23090001
5,10737,9999999.043,0.23699999
5.75,10738,9999999.043,0.23330003
7,10741,9999999.043,0.21650009
8.25,10743,9999999.043,0.19710008
9.38,10746,9999999.043,0.19129999
10.44,10749,9999999.043,0.18250011
11.63,10751,9999999.043,0.16610008
12.75,10754,9999999.043,0.15590005
