Frequency,TMP116,Ambient Temp.
9999998.77356,10821.0,79.0
9999998.773622,10820.0,78.56
9999998.773992,10817.0,77.25
9999998.774285,10813.0,75.56
9999998.774562,10807.0,73.69
9999998.77482,10802.0,71.75
9999998.775037,10795.0,69.63
9999998.775361,10788.0,67.5
9999998.775582,10782.0,65.25
9999998.775827,10775.0,63.06
9999998.775977,10767.0,60.88
9999998.776069,10761.0,58.63
9999998.776366,10753.0,56.38
9999998.77648,10747.0,53.94
9999998.776643,10739.0,51.69
9999998.776587,10732.0,49.44
9999998.776804,10724.0,47.06
9999998.776958,10718.0,44.81
9999998.776881,10711.0,42.56
9999998.776984,10704.0,40.25
9999998.777012,10697.0,38.06
9999998.777082,10690.0,35.63
9999998.777027,10682.0,33.25
9999998.77695,10675.0,31.0
9999998.777139,10668.0,28.75
9999998.776901,10661.0,26.44
9999998.777057,10654.0,24.13
9999998.776876,10647.0,22.0
9999998.776836,10641.0,19.75
9999998.776667,10634.0,17.63
9999998.7766,10627.0,15.44
9999998.776507,10621.0,13.31
9999998.776354,10614.0,11.13
9999998.77632,10607.0,8.88
9999998.776122,10600.0,6.44
9999998.775928,10594.0,4.06
9999998.775626,10586.0,1.69
9999998.775411,10579.0,-0.56
9999998.775139,10573.0,-2.88
9999998.775041,10566.0,-4.81
9999998.774541,10563.0,-5.56
9999998.774492,10560.0,-5.88
9999998.77428,10559.0,-6.06
9999998.774279,10558.0,-6.0
9999998.77423,10560.0,-4.69
9999998.774255,10564.0,-2.81
9999998.774326,10570.0,-0.63
9999998.774593,10576.0,1.44
9999998.77467,10582.0,3.75
9999998.77509,10587.0,5.25
9999998.774981,10593.0,7.56
9999998.775232,10600.0,9.88
9999998.775339,10607.0,12.13
9999998.775527,10614.0,14.44
9999998.775571,10621.0,16.69
9999998.775855,10627.0,18.94
9999998.775801,10635.0,21.19
9999998.776061,10642.0,23.44
9999998.776103,10648.0,25.63
9999998.776047,10655.0,27.88
9999998.776049,10662.0,30.0
9999998.776144,10669.0,32.19
9999998.776121,10676.0,34.38
9999998.776076,10683.0,36.69
9999998.776044,10690.0,38.94
9999998.775893,10697.0,41.31
9999998.775959,10704.0,43.63
9999998.775919,10712.0,45.94
9999998.775802,10719.0,48.19
9999998.775632,10726.0,50.44
9999998.77547,10733.0,52.69
9999998.775411,10740.0,54.94
9999998.775356,10747.0,57.06
9999998.775202,10754.0,59.38
9999998.774795,10761.0,61.63
9999998.77481,10768.0,63.75
9999998.774666,10775.0,65.94
9999998.774518,10782.0,67.94
9999998.774215,10789.0,70.06
9999998.773992,10795.0,72.19
9999998.773691,10801.0,74.19
9999998.773549,10809.0,76.38
9999998.773428,10813.0,77.56
9999998.773395,10816.0,78.31
9999998.773351,10819.0,78.81
9999998.773356,10824.0,80.0
9999998.773438,10824.0,79.56
9999998.773495,10822.0,78.88
9999998.773625,10819.0,77.94
9999998.773711,10816.0,77.0
9999998.77402,10814.0,75.94
9999998.774063,10810.0,75.06
9999998.774207,10807.0,73.94
9999998.774354,10804.0,72.81
9999998.774564,10799.0,71.69
9999998.774711,10796.0,70.56
9999998.774769,10793.0,69.5
9999998.774916,10789.0,68.38
9999998.774975,10785.0,67.25
9999998.775266,10782.0,66.13
9999998.775187,10778.0,64.88
9999998.775322,10775.0,63.81
9999998.775507,10771.0,62.63
9999998.775501,10768.0,61.56
9999998.775649,10764.0,60.5
9999998.775753,10760.0,59.31
9999998.775884,10757.0,58.13
9999998.775891,10753.0,57.0
9999998.775939,10750.0,55.88
9999998.776017,10747.0,54.69
9999998.776023,10742.0,53.44
9999998.776117,10737.0,52.31
9999998.776122,10736.0,51.13
9999998.776161,10731.0,50.0
9999998.776292,10728.0,48.88
9999998.776383,10725.0,47.69
9999998.776423,10721.0,46.56
9999998.776294,10718.0,45.56
9999998.776514,10714.0,44.25
9999998.776528,10710.0,43.13
9999998.776612,10707.0,42.0
9999998.7766,10703.0,40.81
9999998.77669,10700.0,39.56
9999998.776459,10695.0,38.5
9999998.776657,10692.0,37.38
9999998.776602,10688.0,36.25
9999998.776638,10685.0,35.13
9999998.776718,10681.0,33.94
9999998.776625,10678.0,32.81
9999998.776674,10675.0,31.69
9999998.776623,10671.0,30.5
9999998.776579,10667.0,29.25
9999998.77653,10664.0,28.19
9999998.776471,10660.0,27.06
9999998.776529,10656.0,25.88
9999998.776538,10653.0,24.75
9999998.776423,10649.0,23.75
9999998.776452,10647.0,22.75
9999998.776385,10644.0,21.69
9999998.77639,10641.0,20.56
9999998.776227,10637.0,19.38
9999998.776208,10633.0,18.31
9999998.776105,10630.0,17.31
9999998.77613,10626.0,15.88
9999998.776215,10623.0,14.69
9999998.775943,10619.0,13.63
9999998.775948,10616.0,12.63
9999998.775813,10612.0,11.5
9999998.775846,10609.0,10.38
9999998.775764,10606.0,9.19
9999998.775741,10603.0,8.13
9999998.775554,10599.0,7.0
9999998.775532,10596.0,5.88
9999998.775328,10592.0,4.69
9999998.775389,10589.0,3.5
9999998.775191,10585.0,2.38
9999998.775093,10582.0,1.13
9999998.774964,10578.0,0.06
9999998.774859,10574.0,-1.19
9999998.77473,10571.0,-2.5
9999998.774648,10567.0,-3.81
9999998.774465,10564.0,-4.81
9999998.774297,10561.0,-5.81
9999998.773971,10558.0,-5.81
9999998.774078,10559.0,-4.94
9999998.774189,10562.0,-3.94
9999998.774096,10565.0,-2.69
9999998.774299,10569.0,-1.44
9999998.774368,10572.0,-0.38
9999998.774519,10575.0,0.81
9999998.77461,10579.0,1.94
9999998.774767,10582.0,3.19
9999998.774823,10585.0,4.31
9999998.775116,10588.0,4.81
9999998.774972,10591.0,6.06
9999998.774932,10595.0,7.25
9999998.775145,10598.0,8.44
9999998.775047,10602.0,9.56
9999998.775195,10605.0,10.69
9999998.775411,10608.0,11.81
9999998.775524,10612.0,12.94
9999998.775609,10615.0,14.06
9999998.775591,10619.0,15.19
9999998.775626,10622.0,16.31
9999998.775624,10626.0,17.44
9999998.77575,10629.0,18.56
9999998.775847,10633.0,19.75
9999998.77571,10636.0,20.88
9999998.77586,10640.0,22.0
