Frequency,TMP116,Ambient Temp.
9999998.844216,10833.0,79.0
9999998.844187,10832.0,78.69
9999998.844334,10831.0,77.44
9999998.844508,10828.0,75.75
9999998.844472,10823.0,73.94
9999998.844682,10818.0,71.94
9999998.844537,10813.0,69.88
9999998.844638,10808.0,67.81
9999998.844417,10801.0,65.5
9999998.844538,10796.0,63.31
9999998.844661,10790.0,61.13
9999998.844719,10783.0,58.88
9999998.844817,10778.0,56.63
9999998.844812,10772.0,54.31
9999998.844807,10767.0,52.0
9999998.844752,10760.0,49.69
9999998.844774,10753.0,47.44
9999998.844704,10747.0,45.06
9999998.844711,10740.0,42.88
9999998.844784,10735.0,40.56
9999998.844891,10728.0,38.38
9999998.845039,10723.0,35.88
9999998.845214,10717.0,33.56
9999998.845353,10711.0,31.25
9999998.845132,10705.0,29.0
9999998.845287,10699.0,26.69
9999998.845214,10693.0,24.31
9999998.845279,10687.0,22.31
9999998.845185,10681.0,20.06
9999998.845153,10676.0,17.88
9999998.845172,10670.0,15.75
9999998.845026,10664.0,13.56
9999998.844944,10658.0,11.38
9999998.845026,10652.0,9.13
9999998.844956,10646.0,6.69
9999998.844806,10640.0,4.31
9999998.844652,10634.0,2.13
9999998.844713,10628.0,-0.31
9999998.844569,10622.0,-2.63
9999998.844479,10616.0,-4.69
9999998.844338,10612.0,-5.5
9999998.844115,10610.0,-5.88
9999998.844269,10609.0,-6.06
9999998.844209,10608.0,-6.19
9999998.844366,10610.0,-4.94
9999998.84435,10613.0,-3.06
9999998.844436,10618.0,-0.88
9999998.84443,10623.0,1.19
9999998.844605,10629.0,3.5
9999998.844721,10633.0,5.0
9999998.84478,10639.0,7.31
9999998.844882,10645.0,9.63
9999998.844784,10651.0,11.88
9999998.845022,10657.0,14.13
9999998.845045,10663.0,16.44
9999998.845029,10668.0,18.63
9999998.844998,10675.0,20.88
9999998.845212,10681.0,23.06
9999998.845196,10686.0,25.31
9999998.845335,10692.0,27.56
9999998.84526,10698.0,29.69
9999998.845358,10703.0,31.94
9999998.845094,10710.0,34.06
9999998.845044,10716.0,36.38
9999998.844932,10722.0,38.69
9999998.844763,10728.0,41.06
9999998.844684,10734.0,43.31
9999998.844786,10741.0,45.69
9999998.844795,10747.0,47.94
9999998.844761,10753.0,50.19
9999998.844855,10759.0,52.44
9999998.844961,10765.0,54.63
9999998.844917,10771.0,56.81
9999998.844817,10776.0,59.06
9999998.844789,10782.0,61.31
9999998.844694,10788.0,63.5
9999998.844677,10794.0,65.63
9999998.84453,10800.0,67.69
9999998.844542,10805.0,69.75
9999998.84462,10810.0,71.88
9999998.844529,10815.0,74.0
9999998.844497,10821.0,76.13
9999998.844497,10826.0,77.44
9999998.844618,10830.0,78.25
9999998.844495,10831.0,78.81
9999998.844631,10835.0,79.94
9999998.844665,10835.0,79.63
9999998.844766,10833.0,78.94
9999998.844819,10832.0,78.06
9999998.844768,10830.0,77.13
9999998.844803,10827.0,76.13
9999998.844937,10824.0,75.19
9999998.844889,10822.0,74.06
9999998.844896,10819.0,73.0
9999998.844835,10815.0,71.81
9999998.844818,10813.0,70.69
9999998.844983,10810.0,69.63
9999998.844885,10807.0,68.56
9999998.84485,10804.0,67.38
9999998.84488,10801.0,66.25
9999998.844986,10798.0,65.06
9999998.845041,10795.0,63.94
9999998.845227,10792.0,62.81
9999998.845298,10789.0,61.63
9999998.845314,10786.0,60.63
9999998.845379,10784.0,59.5
9999998.845359,10780.0,58.25
9999998.845402,10778.0,57.13
9999998.84548,10774.0,56.0
9999998.845369,10771.0,54.88
9999998.8455,10768.0,53.63
9999998.845407,10765.0,52.5
9999998.845278,10762.0,51.31
9999998.8452,10758.0,50.13
9999998.845221,10755.0,49.0
9999998.845024,10753.0,47.81
9999998.845091,10750.0,46.69
9999998.845137,10747.0,45.69
9999998.845049,10743.0,44.5
9999998.845157,10740.0,43.25
9999998.845178,10737.0,42.13
9999998.845082,10734.0,41.0
9999998.845262,10731.0,39.75
9999998.845336,10728.0,38.63
9999998.845326,10725.0,37.56
9999998.845543,10723.0,36.44
9999998.8454,10719.0,35.25
9999998.845387,10716.0,34.06
9999998.845528,10712.0,32.94
9999998.845701,10710.0,31.81
9999998.845648,10708.0,30.69
9999998.845808,10704.0,29.44
9999998.845686,10701.0,28.25
9999998.845723,10698.0,27.25
9999998.845613,10695.0,26.13
9999998.845727,10693.0,24.88
9999998.84568,10689.0,23.88
9999998.845647,10686.0,22.88
9999998.845673,10684.0,21.88
9999998.845632,10681.0,20.69
9999998.845702,10678.0,19.5
9999998.845736,10675.0,18.5
9999998.845585,10672.0,17.44
9999998.845699,10669.0,16.06
9999998.845724,10666.0,14.88
9999998.845585,10663.0,13.81
9999998.845606,10660.0,12.69
9999998.845649,10657.0,11.69
9999998.84563,10655.0,10.56
9999998.845762,10651.0,9.44
9999998.845634,10648.0,8.31
9999998.845492,10646.0,7.13
