Ambient Temp.,TMP116,Frequency
65.06,10702.0,9999999.42245
63.94,10699.0,9999999.42231
62.69,10697.0,9999999.42274
61.56,10693.0,9999999.42276
60.5,10691.0,9999999.42313
59.38,10689.0,9999999.42324
58.25,10686.0,9999999.42346
56.88,10683.0,9999999.42386
55.81,10680.0,9999999.42386
54.75,10678.0,9999999.4241
53.63,10675.0,9999999.42421
52.44,10673.0,9999999.42458
51.25,10669.0,9999999.42497
50.19,10666.0,9999999.42508
49.06,10664.0,9999999.42535
47.75,10662.0,9999999.42555
46.69,10658.0,9999999.42569
45.44,10655.0,9999999.42576
44.38,10653.0,9999999.426
43.06,10650.0,9999999.42638
42.25,10647.0,9999999.42659
41.06,10645.0,9999999.42685
39.81,10642.0,9999999.4268
38.63,10640.0,9999999.42697
37.5,10636.0,9999999.42738
36.25,10634.0,9999999.42772
35.31,10631.0,9999999.42754
34.06,10628.0,9999999.428
32.81,10626.0,9999999.42803
31.63,10622.0,9999999.42806
30.44,10619.0,9999999.42845
29.56,10618.0,9999999.42819
28.31,10615.0,9999999.42865
27.06,10612.0,9999999.42877
25.94,10609.0,9999999.42896
25.0,10607.0,9999999.42928
23.75,10604.0,9999999.42933
22.44,10601.0,9999999.42945
21.56,10598.0,9999999.42958
20.44,10597.0,9999999.42993
19.19,10594.0,9999999.43004
18.0,10591.0,9999999.4301
17.0,10588.0,9999999.43037
15.94,10585.0,9999999.43042
14.69,10583.0,9999999.4304
13.5,10580.0,9999999.43059
12.63,10578.0,9999999.43105
11.56,10575.0,9999999.43105
10.5,10573.0,9999999.4311
9.31,10571.0,9999999.43132
8.13,10568.0,9999999.43153
7.06,10564.0,9999999.43167
5.88,10562.0,9999999.43179
4.63,10559.0,9999999.43178
3.5,10557.0,9999999.43203
2.25,10553.0,9999999.43218
0.88,10550.0,9999999.43216
0.0,10547.0,9999999.43228
-1.19,10545.0,9999999.43212
-2.31,10542.0,9999999.4324
-3.69,10539.0,9999999.43253
-4.63,10537.0,9999999.43271
-5.56,10535.0,9999999.43281
-6.0,10532.0,9999999.43325
-5.44,10533.0,9999999.43325
-4.69,10534.0,9999999.43324
-3.69,10536.0,9999999.43294
-2.56,10538.0,9999999.43281
-1.5,10541.0,9999999.43275
-0.31,10543.0,9999999.4327
0.81,10547.0,9999999.43283
2.06,10549.0,9999999.4327
3.44,10552.0,9999999.4324
4.5,10554.0,9999999.43221
5.06,10557.0,9999999.4323
6.13,10559.0,9999999.4321
7.44,10561.0,9999999.43188
8.56,10565.0,9999999.43188
9.75,10568.0,9999999.43188
10.81,10570.0,9999999.43188
11.94,10573.0,9999999.43178
13.13,10575.0,9999999.43146
14.25,10579.0,9999999.43129
15.31,10581.0,9999999.43144
16.56,10584.0,9999999.43098
17.63,10587.0,9999999.43069
18.69,10589.0,9999999.43078
19.88,10592.0,9999999.43055
21.0,10595.0,9999999.43012
22.0,10597.0,9999999.4303
23.19,10599.0,9999999.43018
24.38,10602.0,9999999.42991
25.38,10605.0,9999999.42975
26.5,10608.0,9999999.42947
27.69,10610.0,9999999.42953
28.75,10613.0,9999999.42928
29.81,10616.0,9999999.42923
30.94,10618.0,9999999.42911
32.0,10621.0,9999999.42892
32.94,10623.0,9999999.42871
34.25,10626.0,9999999.42849
35.5,10628.0,9999999.42848
36.56,10631.0,9999999.42833
37.75,10634.0,9999999.42799
39.06,10637.0,9999999.42795
40.19,10640.0,9999999.42772
41.25,10642.0,9999999.42771
42.56,10645.0,9999999.42717
43.75,10648.0,9999999.42705
44.75,10650.0,9999999.42686
46.06,10654.0,9999999.42656
47.19,10656.0,9999999.42648
48.19,10659.0,9999999.4261
49.5,10662.0,9999999.42594
50.69,10665.0,9999999.42575
51.75,10667.0,9999999.42559
52.94,10669.0,9999999.42528
54.06,10673.0,9999999.42526
55.19,10675.0,9999999.42509
56.25,10678.0,9999999.42476
57.38,10680.0,9999999.42462
58.44,10684.0,9999999.42445
59.5,10686.0,9999999.42451
60.5,10689.0,9999999.42411
61.56,10691.0,9999999.42369
62.69,10694.0,9999999.4237
63.81,10696.0,9999999.42359
65.0,10699.0,9999999.42327
66.19,10702.0,9999999.42312
67.13,10704.0,9999999.42302
68.13,10706.0,9999999.42259
69.38,10710.0,9999999.42261
70.38,10712.0,9999999.4223
71.44,10715.0,9999999.42202
72.5,10717.0,9999999.42191
73.69,10720.0,9999999.42185
74.69,10723.0,9999999.4218
75.69,10725.0,9999999.42124
76.88,10728.0,9999999.42129
78.0,10730.0,9999999.42098
78.75,10733.0,9999999.42068
79.06,10734.0,9999999.42061
79.5,10735.0,9999999.4205
79.56,10735.0,9999999.42059
79.63,10736.0,9999999.4207
79.81,10736.0,9999999.42078
,,
