Ambient Temp.,TMP116,Frequency
29.75,10816,9999998.331
30.81,10819,9999998.331
31.88,10822,9999998.33
33.0,10825,9999998.33
34.19,10828,9999998.33
35.38,10832,9999998.33
36.75,10835,9999998.33
38.06,10839,9999998.33
39.13,10843,9999998.329
40.25,10846,9999998.329
41.38,10849,9999998.329
42.38,10852,9999998.329
43.81,10855,9999998.329
45.0,10859,9999998.329
46.06,10863,9999998.328
47.13,10866,9999998.328
48.25,10869,9999998.328
49.44,10872,9999998.328
50.5,10875,9999998.328
51.81,10879,9999998.327
52.94,10882,9999998.327
54.06,10885,9999998.327
55.06,10889,9999998.327
56.19,10892,9999998.327
57.25,10895,9999998.326
58.25,10898,9999998.326
59.38,10900,9999998.326
60.5,10903,9999998.326
61.63,10907,9999998.326
62.69,10910,9999998.326
63.81,10914,9999998.325
64.94,10917,9999998.325
66.0,10919,9999998.325
67.19,10923,9999998.324
68.25,10926,9999998.324
69.25,10930,9999998.324
70.19,10933,9999998.324
71.25,10935,9999998.322999999
72.38,10939,9999998.322999999
73.5,10941,9999998.322999999
74.63,10945,9999998.322
75.75,10948,9999998.322
76.81,10951,9999998.322
77.94,10954,9999998.322
78.69,10957,9999998.321
79.06,10959,9999998.321
79.31,10961,9999998.321
79.44,10962,9999998.321
79.56,10962,9999998.321
79.63,10963,9999998.321
79.81,10963,9999998.321
77.81,10960,9999998.321
76.88,10957,9999998.321
75.81,10954,9999998.321
74.75,10951,9999998.321
73.69,10949,9999998.322
72.63,10945,9999998.322
71.5,10943,9999998.322
70.38,10939,9999998.322999999
69.25,10937,9999998.322999999
67.94,10932,9999998.322999999
66.88,10929,9999998.322999999
65.81,10926,9999998.324
64.63,10924,9999998.324
63.44,10920,9999998.324
62.19,10916,9999998.324
61.19,10913,9999998.325
60.13,10909,9999998.325
58.94,10906,9999998.325
57.75,10903,9999998.325
56.44,10900,9999998.325
55.38,10896,9999998.326
54.25,10893,9999998.326
53.13,10890,9999998.326
51.94,10886,9999998.326
50.75,10882,9999998.327
49.75,10880,9999998.327
48.5,10876,9999998.327
47.25,10874,9999998.327
46.13,10870,9999998.327
44.94,10866,9999998.328
43.75,10863,9999998.328
42.69,10859,9999998.328
41.69,10856,9999998.328
40.5,10853,9999998.328
39.31,10850,9999998.328
38.19,10847,9999998.328
36.94,10844,9999998.329
35.88,10840,9999998.329
34.81,10837,9999998.329
33.5,10833,9999998.329
32.31,10830,9999998.329
31.06,10827,9999998.329
30.0,10823,9999998.329
29.06,10820,9999998.329
27.75,10817,9999998.329
26.5,10813,9999998.33
25.5,10810,9999998.33
24.5,10808,9999998.33
23.19,10804,9999998.33
22.0,10800,9999998.33
21.25,10798,9999998.33
19.88,10794,9999998.33
18.69,10791,9999998.33
17.5,10787,9999998.33
16.69,10785,9999998.33
15.38,10782,9999998.33
14.13,10778,9999998.331
13.06,10775,9999998.33
12.25,10772,9999998.331
11.06,10770,9999998.331
10.0,10766,9999998.331
8.88,10763,9999998.331
7.69,10760,9999998.331
6.63,10757,9999998.331
5.38,10754,9999998.331
4.19,10750,9999998.331
3.0,10746,9999998.331
1.69,10743,9999998.331
0.38,10740,9999998.331
-0.5,10736,9999998.331
-1.63,10734,9999998.331
-2.94,10730,9999998.331
-4.19,10726,9999998.331
-5.06,10724,9999998.331
-5.81,10720,9999998.331
-5.75,10718,9999998.33
-5.06,10719,9999998.33
-4.31,10720,9999998.331
-3.25,10724,9999998.331
-2.13,10726,9999998.33
-1.0,10728,9999998.33
0.19,10732,9999998.33
1.31,10735,9999998.33
2.56,10739,9999998.33
3.94,10743,9999998.33
5.06,10746,9999998.33
5.5,10748,9999998.33
6.69,10751,9999998.33
7.88,10753,9999998.33
9.06,10757,9999998.33
10.19,10760,9999998.33
11.31,10763,9999998.33
12.44,10766,9999998.33
13.56,10770,9999998.33
14.69,10773,9999998.33
15.88,10776,9999998.33
17.0,10779,9999998.33
18.06,10783,9999998.33
19.19,10786,9999998.33
20.44,10789,9999998.33
21.5,10793,9999998.33
22.5,10795,9999998.33
23.75,10799,9999998.329
24.81,10802,9999998.329
25.81,10805,9999998.329
27.13,10808,9999998.329
28.19,10811,9999998.329
29.13,10814,9999998.329
30.31,10817,9999998.329
31.44,10821,9999998.329
32.5,10824,9999998.329
33.5,10827,9999998.328
34.81,10830,9999998.328
36.0,10833,9999998.328
37.0,10836,9999998.328
38.31,10840,9999998.328
39.56,10843,9999998.327
40.63,10847,9999998.327
41.81,10850,9999998.327
43.06,10854,9999998.327
44.19,10857,9999998.327
45.38,10860,9999998.327
46.56,10863,9999998.326
47.69,10867,9999998.326
48.75,10870,9999998.326
50.06,10874,9999998.326
51.19,10877,9999998.326
52.19,10880,9999998.326
53.44,10883,9999998.325
54.56,10887,9999998.325
55.69,10890,9999998.325
56.75,10893,9999998.325
57.75,10896,9999998.325
58.94,10899,9999998.324
60.06,10902,9999998.324
60.94,10906,9999998.324
62.06,10908,9999998.324
63.13,10912,9999998.322999999
64.31,10915,9999998.322999999
65.5,10918,9999998.322999999
66.63,10922,9999998.322999999
67.56,10924,9999998.322
68.69,10927,9999998.322
69.94,10931,9999998.322
70.81,10934,9999998.322
71.81,10938,9999998.321
73.0,10940,9999998.321
74.06,10943,9999998.321
75.19,10947,9999998.32
76.25,10949,9999998.32
77.44,10952,9999998.32
78.38,10957,9999998.32
78.81,10958,9999998.319
79.31,10960,9999998.319
79.5,10960,9999998.319
79.63,10962,9999998.319
79.69,10962,9999998.319
79.94,10963,9999998.319
