Ambient Temp.,TMP116,Frequency
80.13,10964,9999998.322
79.63,10964,9999998.322
78.94,10962,9999998.322
77.94,10960,9999998.322
77.06,10958,9999998.322999999
76.06,10955,9999998.322999999
75.13,10953,9999998.322999999
74.06,10950,9999998.322999999
72.94,10947,9999998.324
71.88,10944,9999998.324
70.81,10941,9999998.324
69.63,10937,9999998.324
68.5,10935,9999998.325
67.38,10931,9999998.325
66.25,10927,9999998.325
65.06,10924,9999998.325
63.88,10921,9999998.326
62.81,10918,9999998.326
61.69,10914,9999998.326
60.5,10910,9999998.326
59.5,10908,9999998.327
58.25,10904,9999998.327
57.13,10901,9999998.327
55.94,10898,9999998.327
54.81,10894,9999998.327
53.88,10891,9999998.328
52.56,10888,9999998.328
51.31,10885,9999998.328
50.13,10881,9999998.328
48.94,10878,9999998.329
47.81,10875,9999998.329
46.69,10871,9999998.329
45.56,10867,9999998.329
44.38,10864,9999998.329
43.0,10861,9999998.33
42.0,10858,9999998.33
40.94,10855,9999998.33
39.69,10851,9999998.33
38.5,10848,9999998.33
37.38,10845,9999998.33
36.25,10841,9999998.33
35.25,10838,9999998.33
33.94,10835,9999998.331
32.63,10831,9999998.331
31.56,10827,9999998.331
30.44,10824,9999998.331
29.31,10821,9999998.331
28.19,10818,9999998.331
27.0,10815,9999998.331
25.81,10811,9999998.331
24.94,10809,9999998.331
23.94,10806,9999998.331
22.75,10803,9999998.332
21.5,10799,9999998.332
20.31,10796,9999998.332
19.13,10792,9999998.332
18.06,10790,9999998.332
16.88,10786,9999998.332
15.88,10783,9999998.332
14.88,10779,9999998.332
13.69,10776,9999998.332
12.44,10774,9999998.332
11.38,10770,9999998.332
10.25,10767,9999998.332
9.19,10763,9999998.332
8.13,10760,9999998.332999999
6.81,10758,9999998.332999999
5.75,10754,9999998.332999999
4.63,10751,9999998.332999999
3.38,10748,9999998.332999999
2.19,10744,9999998.332999999
1.0,10741,9999998.332999999
-0.25,10738,9999998.332999999
-1.25,10734,9999998.332999999
-2.38,10731,9999998.332999999
-3.63,10728,9999998.332999999
-4.88,10725,9999998.332999999
-5.69,10721,9999998.332999999
-5.69,10717,9999998.332
-4.69,10720,9999998.332
-3.63,10722,9999998.332
-2.56,10725,9999998.332
-1.5,10727,9999998.332
-0.31,10731,9999998.332
1.06,10734,9999998.332
2.19,10738,9999998.332
3.38,10740,9999998.332
4.56,10744,9999998.332
5.06,10746,9999998.332
6.25,10750,9999998.332
7.5,10752,9999998.332
8.63,10756,9999998.332
9.81,10759,9999998.332
10.88,10762,9999998.332
12.0,10765,9999998.332
13.13,10769,9999998.332
14.25,10772,9999998.332
15.38,10775,9999998.332
16.5,10778,9999998.332
17.56,10781,9999998.331
18.81,10785,9999998.332
19.94,10789,9999998.331
20.94,10791,9999998.331
22.13,10794,9999998.331
23.31,10797,9999998.331
24.38,10801,9999998.331
25.5,10803,9999998.331
26.69,10807,9999998.331
27.75,10810,9999998.331
28.88,10813,9999998.331
