Frequency,TMP116,Ambient Temp.,Actual △freq (ppb)
10000000.02952000,10892.00000000,43.00000000,-0.05400013
10000000.02966000,10890.00000000,41.88000000,-0.04000012
10000000.02998000,10887.00000000,40.69000000,-0.00800006
10000000.02963000,10884.00000000,39.44000000,-0.04300009
10000000.02988000,10881.00000000,38.38000000,-0.01800004
10000000.02981000,10879.00000000,37.19000000,-0.02500005
10000000.03014000,10876.00000000,36.19000000,0.00799987
10000000.02983000,10874.00000000,35.00000000,-0.02300013
10000000.03005000,10871.00000000,33.81000000,-0.00100005
10000000.03010000,10868.00000000,32.63000000,0.00399984
10000000.03059000,10866.00000000,31.56000000,0.05299989
10000000.02994000,10864.00000000,30.38000000,-0.01200009
10000000.03021000,10861.00000000,29.13000000,0.01499988
10000000.03015000,10858.00000000,28.06000000,0.00899993
10000000.03033000,10856.00000000,26.88000000,0.02699997
10000000.02991000,10854.00000000,25.75000000,-0.01500007
10000000.03006000,10851.00000000,24.56000000,0.00000000
10000000.02987000,10849.00000000,23.63000000,-0.01900010
10000000.03001000,10846.00000000,22.63000000,-0.00500008
10000000.02959000,10844.00000000,21.56000000,-0.04700013
10000000.02965000,10842.00000000,20.44000000,-0.04099999
10000000.02951000,10840.00000000,19.31000000,-0.05500000
10000000.02977000,10837.00000000,18.19000000,-0.02900008
10000000.02982000,10834.00000000,17.13000000,-0.02400000
10000000.02942000,10832.00000000,15.75000000,-0.06400011
10000000.02969000,10829.00000000,14.56000000,-0.03700014
10000000.02952000,10827.00000000,13.50000000,-0.05400013
10000000.02973000,10824.00000000,12.50000000,-0.03300011
10000000.02951000,10822.00000000,11.38000000,-0.05500000
10000000.02964000,10819.00000000,10.25000000,-0.04200004
10000000.02967000,10816.00000000,9.13000000,-0.03900006
10000000.02995000,10814.00000000,8.06000000,-0.01100004
10000000.03004000,10812.00000000,6.81000000,-0.00200011
10000000.02935000,10809.00000000,5.81000000,-0.07100012
10000000.02979000,10807.00000000,4.56000000,-0.02700016
10000000.02937000,10804.00000000,3.31000000,-0.06900001
10000000.02978000,10802.00000000,2.25000000,-0.02800003
10000000.03008000,10799.00000000,1.00000000,0.00199992
10000000.02952000,10796.00000000,-0.13000000,-0.05400013
10000000.02973000,10794.00000000,-1.38000000,-0.03300011
10000000.02951000,10791.00000000,-2.63000000,-0.05500000
10000000.02940000,10789.00000000,-3.94000000,-0.06600004
10000000.02948000,10786.00000000,-5.00000000,-0.05800016
10000000.02979000,10784.00000000,-5.94000000,-0.02700016
10000000.02945000,10780.00000000,-5.75000000,-0.02800003
10000000.02912000,10782.00000000,-4.81000000,-0.06099995
10000000.02913000,10784.00000000,-3.81000000,-0.05999990
10000000.02937000,10786.00000000,-2.50000000,-0.03599990
10000000.02921000,10788.00000000,-1.38000000,-0.05200002
10000000.02927000,10792.00000000,-0.19000000,-0.04599988
10000000.02958000,10794.00000000,1.00000000,-0.01499988
10000000.02973000,10796.00000000,2.13000000,0.00000000
10000000.02947000,10799.00000000,3.31000000,-0.02599992
10000000.02942000,10802.00000000,4.44000000,-0.03100000
10000000.02950000,10804.00000000,4.94000000,-0.02299994
10000000.02927000,10806.00000000,6.13000000,-0.04599988
10000000.02948000,10808.00000000,7.44000000,-0.02500005
10000000.02966000,10811.00000000,8.56000000,-0.00700001
10000000.02951000,10813.00000000,9.69000000,-0.02199989
10000000.02925000,10816.00000000,10.81000000,-0.04799999
10000000.02960000,10818.00000000,11.94000000,-0.01299996
10000000.02909000,10821.00000000,13.06000000,-0.06399993
10000000.02956000,10823.00000000,14.19000000,-0.01699999
10000000.02979000,10826.00000000,15.31000000,0.00599995
10000000.02938000,10828.00000000,16.44000000,-0.03500003
