Frequency,TMP116,Ambient Temp.,Actual dfreq (ppb)
10000003.04426800,10794.00000000,44.44000000,-0.03950000
10000003.04425200,10799.00000000,46.63000000,-0.04110001
10000003.04406500,10804.00000000,48.94000000,-0.05980004
10000003.04394200,10809.00000000,51.19000000,-0.07210001
10000003.04390900,10814.00000000,53.38000000,-0.07540006
10000003.04394500,10820.00000000,55.63000000,-0.07180013
10000003.04395800,10825.00000000,57.81000000,-0.07050000
10000003.04385700,10830.00000000,60.06000000,-0.08060001
10000003.04389900,10834.00000000,62.31000000,-0.07640012
10000003.04384700,10840.00000000,64.50000000,-0.08160006
10000003.04375800,10844.00000000,66.56000000,-0.09050015
10000003.04345700,10850.00000000,68.63000000,-0.12060013
10000003.04328200,10854.00000000,70.69000000,-0.13810005
10000003.04307200,10860.00000000,72.81000000,-0.15910007
10000003.04319500,10864.00000000,74.88000000,-0.14680009
10000003.04305100,10869.00000000,76.88000000,-0.16120002
10000003.04308900,10872.00000000,77.81000000,-0.15740003
10000003.04324300,10874.00000000,78.50000000,-0.14200006
10000003.04322600,10876.00000000,78.94000000,-0.14370009
10000003.04339200,10879.00000000,79.88000000,-0.12710001
10000003.04330700,10879.00000000,79.31000000,-0.20249989
10000003.04348000,10878.00000000,78.56000000,-0.18520001
10000003.04343900,10875.00000000,77.69000000,-0.18929988
10000003.04349800,10873.00000000,76.75000000,-0.18339995
10000003.04371200,10871.00000000,75.69000000,-0.16200002
10000003.04373500,10869.00000000,74.69000000,-0.15970003
10000003.04362800,10867.00000000,73.56000000,-0.17039999
10000003.04369100,10864.00000000,72.44000000,-0.16409997
10000003.04391300,10862.00000000,71.31000000,-0.14190003
10000003.04410900,10859.00000000,70.19000000,-0.12229998
10000003.04390900,10857.00000000,69.13000000,-0.14229994
10000003.04430300,10854.00000000,67.94000000,-0.10289997
10000003.04409600,10851.00000000,66.81000000,-0.12359992
10000003.04435800,10849.00000000,65.69000000,-0.09739995
10000003.04441600,10846.00000000,64.56000000,-0.09160005
10000003.04463400,10843.00000000,63.44000000,-0.06980002
10000003.04454900,10841.00000000,62.31000000,-0.07830001
10000003.04475700,10838.00000000,61.19000000,-0.05750004
10000003.04479900,10836.00000000,60.06000000,-0.05329996
10000003.04467300,10834.00000000,58.94000000,-0.06590001
10000003.04485400,10831.00000000,57.75000000,-0.04779994
10000003.04468100,10828.00000000,56.63000000,-0.06510001
10000003.04477600,10825.00000000,55.44000000,-0.05559996
