Frequency,TMP116,Ambient Temp.
10000002.239976,10905.0,79.0
10000002.240146,10905.0,78.63
10000002.240196,10903.0,77.31
10000002.240381,10899.0,75.69
10000002.240595,10894.0,73.81
10000002.240669,10890.0,71.81
10000002.240928,10884.0,69.75
10000002.241019,10879.0,67.63
10000002.241012,10872.0,65.44
10000002.241184,10866.0,63.19
10000002.241323,10860.0,61.0
10000002.241386,10854.0,58.69
10000002.241476,10849.0,56.5
10000002.241514,10842.0,54.13
10000002.241565,10836.0,51.81
10000002.241643,10829.0,49.56
10000002.241678,10824.0,47.25
10000002.241949,10817.0,45.0
10000002.241762,10811.0,42.69
10000002.241667,10805.0,40.44
10000002.241841,10799.0,38.25
10000002.24203,10793.0,35.81
10000002.241889,10787.0,33.44
10000002.241822,10780.0,31.13
10000002.241862,10774.0,28.88
10000002.242024,10768.0,26.5
10000002.241856,10761.0,24.25
10000002.242002,10756.0,22.13
10000002.241934,10750.0,19.94
10000002.241865,10745.0,17.75
10000002.241718,10739.0,15.56
10000002.241679,10733.0,13.38
10000002.241623,10727.0,11.31
10000002.241554,10722.0,8.94
10000002.241618,10715.0,6.56
10000002.241584,10709.0,4.25
10000002.241443,10703.0,2.0
10000002.24144,10697.0,-0.44
10000002.241222,10691.0,-2.81
10000002.241107,10685.0,-4.69
10000002.240885,10681.0,-5.5
10000002.24083,10680.0,-5.81
10000002.240735,10678.0,-6.06
10000002.24075,10677.0,-6.06
10000002.24081,10680.0,-4.81
10000002.240685,10682.0,-2.94
10000002.240736,10687.0,-0.75
10000002.240869,10693.0,1.31
10000002.240837,10699.0,3.63
10000002.241024,10703.0,5.13
10000002.241027,10709.0,7.44
10000002.24104,10715.0,9.75
10000002.241201,10720.0,12.0
10000002.241328,10726.0,14.31
10000002.241259,10733.0,16.56
10000002.24137,10739.0,18.81
10000002.241367,10745.0,21.0
10000002.241463,10750.0,23.19
10000002.241534,10757.0,25.44
10000002.24133,10762.0,27.69
10000002.241562,10768.0,29.81
10000002.241468,10774.0,32.06
10000002.24148,10780.0,34.25
10000002.241433,10787.0,36.56
10000002.241448,10793.0,38.81
10000002.241391,10799.0,41.19
10000002.241311,10805.0,43.5
10000002.241256,10811.0,45.81
10000002.241238,10818.0,48.06
10000002.241078,10824.0,50.31
10000002.241036,10830.0,52.56
10000002.241029,10837.0,54.81
10000002.240945,10842.0,56.94
10000002.240771,10848.0,59.25
10000002.240937,10854.0,61.44
10000002.240689,10860.0,63.63
10000002.240569,10866.0,65.81
10000002.240357,10872.0,67.81
10000002.240344,10877.0,69.88
10000002.240125,10883.0,72.06
10000002.24007,10889.0,74.06
10000002.239857,10895.0,76.25
10000002.239953,10900.0,77.5
10000002.239955,10902.0,78.31
10000002.239951,10904.0,78.81
10000002.239932,10908.0,80.0
10000002.239933,10907.0,79.56
10000002.240041,10906.0,78.88
10000002.239932,10904.0,78.0
10000002.240047,10902.0,77.06
10000002.240333,10899.0,76.06
10000002.240241,10897.0,75.13
10000002.240368,10894.0,74.0
10000002.240521,10891.0,72.94
10000002.240504,10888.0,71.75
10000002.240505,10885.0,70.63
10000002.240651,10882.0,69.56
10000002.240756,10879.0,68.44
10000002.240905,10876.0,67.31
10000002.240928,10872.0,66.13
10000002.240911,10869.0,64.94
10000002.240956,10866.0,63.88
10000002.24094,10863.0,62.69
10000002.241015,10860.0,61.56
10000002.241057,10857.0,60.56
10000002.24108,10854.0,59.38
10000002.241148,10851.0,58.19
10000002.241184,10848.0,57.06
10000002.241289,10845.0,55.94
10000002.241342,10842.0,54.75
10000002.241347,10839.0,53.56
10000002.24138,10835.0,52.38
10000002.241318,10832.0,51.19
10000002.241394,10829.0,50.06
10000002.241403,10826.0,48.94
10000002.241397,10823.0,47.75
10000002.241352,10820.0,46.63
10000002.241444,10817.0,45.56
10000002.241404,10814.0,44.38
10000002.241543,10810.0,43.19
10000002.241619,10807.0,42.06
10000002.241513,10804.0,40.88
10000002.24146,10801.0,39.69
10000002.241594,10798.0,38.56
10000002.241646,10795.0,37.5
10000002.241622,10792.0,36.31
10000002.241705,10789.0,35.19
10000002.241657,10785.0,34.0
10000002.241678,10782.0,32.88
10000002.241771,10780.0,31.75
10000002.24169,10777.0,30.56
10000002.241684,10773.0,29.31
10000002.241737,10770.0,28.25
10000002.241571,10767.0,27.13
10000002.241736,10765.0,25.94
10000002.241768,10761.0,24.81
10000002.241591,10757.0,23.81
10000002.241746,10756.0,22.88
10000002.241627,10752.0,21.75
10000002.241571,10750.0,20.63
10000002.241593,10747.0,19.5
10000002.241589,10744.0,18.44
10000002.241627,10741.0,17.44
10000002.241457,10737.0,15.94
10000002.241596,10734.0,14.81
10000002.24154,10732.0,13.69
10000002.241521,10729.0,12.63
10000002.241352,10726.0,11.63
10000002.241446,10723.0,10.5
10000002.241294,10720.0,9.31
10000002.241441,10718.0,8.25
10000002.241271,10714.0,7.06
10000002.24128,10711.0,5.94
10000002.24132,10708.0,4.75
10000002.241196,10705.0,3.5
10000002.241317,10703.0,2.44
10000002.241023,10699.0,1.25
10000002.241065,10696.0,0.13
10000002.240966,10693.0,-1.13
10000002.240944,10690.0,-2.38
10000002.240915,10687.0,-3.69
10000002.240951,10683.0,-4.75
10000002.240903,10680.0,-5.81
10000002.240676,10678.0,-5.88
10000002.240674,10679.0,-4.94
10000002.24073,10681.0,-4.0
10000002.2407,10684.0,-2.75
10000002.240824,10687.0,-1.56
10000002.240771,10690.0,-0.44
10000002.240932,10693.0,0.75
10000002.241021,10696.0,1.88
10000002.241016,10699.0,3.13
10000002.241041,10702.0,4.25
10000002.241198,10704.0,4.75
10000002.241254,10707.0,5.94
10000002.241134,10710.0,7.19
10000002.241187,10713.0,8.38
10000002.241307,10716.0,9.5
10000002.241268,10719.0,10.63
10000002.241247,10722.0,11.75
10000002.241285,10725.0,12.88
10000002.241353,10728.0,14.0
10000002.241496,10732.0,15.13
10000002.241444,10734.0,16.19
10000002.241532,10737.0,17.44
10000002.241531,10739.0,18.5
10000002.24143,10743.0,19.63
10000002.24149,10746.0,20.81
10000002.241582,10749.0,21.94
10000002.241476,10752.0,23.0
10000002.24151,10755.0,24.13
10000002.241482,10758.0,25.38
10000002.241509,10761.0,26.5
10000002.241497,10765.0,27.5
10000002.241545,10767.0,28.63
10000002.241441,10770.0,29.69
10000002.241399,10773.0,30.81
10000002.241462,10776.0,31.81
10000002.241443,10778.0,32.94
10000002.241501,10781.0,34.06
10000002.241469,10785.0,35.25
10000002.241563,10788.0,36.44
10000002.241395,10791.0,37.69
10000002.241362,10795.0,38.81
10000002.24139,10798.0,40.13
10000002.241351,10801.0,41.31
10000002.24143,10804.0,42.31
10000002.241305,10807.0,43.63
10000002.241284,10811.0,44.75
10000002.241287,10814.0,45.88
10000002.24119,10817.0,47.13
10000002.241252,10821.0,48.25
10000002.241366,10823.0,49.31
10000002.241198,10826.0,50.56
10000002.241088,10830.0,51.75
10000002.241124,10833.0,52.81
10000002.24105,10835.0,53.94
10000002.241109,10838.0,55.13
10000002.241109,10842.0,56.25
10000002.241071,10845.0,57.38
10000002.240995,10848.0,58.31
10000002.240877,10851.0,59.5
10000002.240796,10854.0,60.56
10000002.240629,10857.0,61.63
10000002.240629,10859.0,62.56
10000002.24058,10862.0,63.69
10000002.24056,10865.0,64.75
10000002.240488,10868.0,65.88
10000002.240468,10871.0,67.0
10000002.240322,10873.0,68.06
10000002.240267,10876.0,69.19
10000002.2402,10880.0,70.31
10000002.240193,10883.0,71.31
10000002.240314,10885.0,72.38
10000002.240138,10888.0,73.44
10000002.239941,10891.0,74.44
10000002.2399,10894.0,75.56
10000002.239912,10897.0,76.56
