Frequency,TMP116,Ambient Temp.
10000001.963069,10859.0,79.19
10000001.963242,10857.0,78.25
10000001.963184,10856.0,76.81
10000001.963415,10853.0,75.13
10000001.963603,10849.0,73.19
10000001.963951,10845.0,71.19
10000001.963988,10840.0,69.06
10000001.96402,10834.0,66.94
10000001.964253,10829.0,64.69
10000001.964398,10823.0,62.44
10000001.964495,10818.0,60.38
10000001.964695,10812.0,58.0
10000001.964707,10807.0,55.75
10000001.96479,10801.0,53.38
10000001.964813,10795.0,51.13
10000001.964955,10790.0,48.88
10000001.964998,10784.0,46.56
10000001.965045,10779.0,44.25
10000001.965059,10773.0,41.94
10000001.965262,10766.0,39.81
10000001.965246,10761.0,37.44
10000001.96538,10755.0,35.0
10000001.965348,10749.0,32.69
10000001.965383,10744.0,30.44
10000001.965393,10737.0,28.13
10000001.965412,10731.0,25.88
10000001.965378,10727.0,23.56
10000001.965345,10720.0,21.44
10000001.965502,10715.0,19.25
10000001.965396,10709.0,17.06
10000001.965421,10705.0,15.0
10000001.965334,10699.0,12.75
10000001.96527,10694.0,10.63
10000001.965323,10688.0,8.25
10000001.965198,10681.0,5.81
10000001.965064,10676.0,3.5
10000001.965122,10669.0,1.19
10000001.964994,10664.0,-1.06
10000001.964834,10658.0,-3.56
10000001.964695,10652.0,-5.13
10000001.964584,10650.0,-5.63
10000001.964562,10648.0,-5.94
10000001.964482,10647.0,-6.13
10000001.96463,10646.0,-5.75
10000001.964574,10648.0,-4.25
10000001.96448,10652.0,-2.25
10000001.96462,10656.0,-0.13
10000001.964707,10662.0,2.0
10000001.96475,10667.0,3.81
10000001.964707,10672.0,5.81
10000001.964901,10677.0,8.13
10000001.964807,10683.0,10.5
10000001.964874,10688.0,12.75
10000001.964964,10694.0,15.0
10000001.965039,10699.0,17.25
10000001.964935,10706.0,19.5
10000001.965048,10711.0,21.69
10000001.965045,10717.0,23.94
10000001.965132,10722.0,26.19
10000001.964988,10728.0,28.38
10000001.965054,10733.0,30.56
10000001.965084,10739.0,32.75
10000001.96508,10744.0,34.94
10000001.964954,10750.0,37.25
10000001.964879,10756.0,39.56
10000001.964805,10762.0,41.88
10000001.964825,10767.0,44.25
10000001.964759,10773.0,46.56
10000001.964751,10779.0,48.75
10000001.964723,10784.0,51.0
10000001.964458,10790.0,53.25
10000001.964463,10796.0,55.5
10000001.964297,10801.0,57.69
10000001.964189,10807.0,59.94
10000001.964003,10812.0,62.13
10000001.963987,10818.0,64.31
10000001.963801,10823.0,66.44
10000001.96378,10828.0,68.5
10000001.963768,10834.0,70.56
10000001.963519,10839.0,72.69
10000001.963462,10844.0,74.75
10000001.963278,10849.0,76.81
10000001.963263,10853.0,77.75
